scale,instance_idx,pref_id,w1,w2,f1,f2,scheduled,seconds
s10_n300,0,0,1.0,0.0,0.3587077357865352,0.5384366913958459,83,0.43301892280578613
s10_n300,0,1,0.9795918367346939,0.02040816326530612,0.3592204924699166,0.5384366913958459,82,0.34337425231933594
s10_n300,0,2,0.9591836734693877,0.04081632653061224,0.3663185432785298,0.5505942369375868,85,0.3635423183441162
s10_n300,0,3,0.9387755102040817,0.061224489795918366,0.3700803396726887,0.5948150647797027,86,0.3988356590270996
s10_n300,0,4,0.9183673469387755,0.08163265306122448,0.35876494773764217,0.6748685834588546,85,0.39253735542297363
s10_n300,0,5,0.8979591836734694,0.10204081632653061,0.3716103225859153,0.7043706279572248,87,0.4002993106842041
s10_n300,0,6,0.8775510204081632,0.12244897959183673,0.36567527108289427,0.7147071033263611,86,0.36110877990722656
s10_n300,0,7,0.8571428571428572,0.14285714285714285,0.36265339823310944,0.727356557955343,85,0.4279041290283203
s10_n300,0,8,0.8367346938775511,0.16326530612244897,0.35580781539232054,0.7544480823972417,85,0.3449711799621582
s10_n300,0,9,0.8163265306122449,0.1836734693877551,0.35487724640562,0.7680589232642258,84,0.40117454528808594
s10_n300,0,10,0.7959183673469388,0.20408163265306123,0.3631922220714339,0.7777324830145335,88,0.3516974449157715
s10_n300,0,11,0.7755102040816326,0.22448979591836735,0.3561198018133233,0.7723724844111358,85,0.5199692249298096
s10_n300,0,12,0.7551020408163265,0.24489795918367346,0.3438850658384644,0.7999339640078703,83,0.4771096706390381
s10_n300,0,13,0.7346938775510203,0.2653061224489796,0.33602948471012706,0.8305882931476264,84,0.46596503257751465
s10_n300,0,14,0.7142857142857143,0.2857142857142857,0.32629918467925134,0.8401874192669203,81,0.33918142318725586
s10_n300,0,15,0.6938775510204082,0.30612244897959184,0.32592906069339744,0.8732634065437697,83,0.543698787689209
s10_n300,0,16,0.6734693877551021,0.32653061224489793,0.32206123609549503,0.8685711897979523,82,0.37725377082824707
s10_n300,0,17,0.653061224489796,0.3469387755102041,0.31822334208762687,0.883549460436804,81,0.4498295783996582
s10_n300,0,18,0.6326530612244898,0.3673469387755102,0.3152035929168177,0.8799399075759247,81,0.39774537086486816
s10_n300,0,19,0.6122448979591837,0.3877551020408163,0.3150417676485634,0.8698925470434836,80,0.4224269390106201
s10_n300,0,20,0.5918367346938775,0.40816326530612246,0.3149865430922852,0.8875634003339474,81,0.40625834465026855
s10_n300,0,21,0.5714285714285714,0.42857142857142855,0.31307885037897,0.8976107608663886,82,0.4460306167602539
s10_n300,0,22,0.5510204081632653,0.4489795918367347,0.30018759382733096,0.8976107608663887,79,0.4752688407897949
s10_n300,0,23,0.5306122448979591,0.46938775510204084,0.2919037951142795,0.8842174724185857,77,0.37759995460510254
s10_n300,0,24,0.5102040816326531,0.4897959183673469,0.2894232221470914,0.8957816031109044,77,0.38982653617858887
s10_n300,0,25,0.4897959183673469,0.5102040816326531,0.2973278820170343,0.8926427303153301,78,0.3863801956176758
s10_n300,0,26,0.4693877551020408,0.5306122448979592,0.2897781978563407,0.9000657250033562,78,0.44338393211364746
s10_n300,0,27,0.44897959183673475,0.5510204081632653,0.2897781978563407,0.9000657250033562,78,0.3381357192993164
s10_n300,0,28,0.4285714285714286,0.5714285714285714,0.2699926591823489,0.9228217606551615,76,0.38445425033569336
s10_n300,0,29,0.40816326530612246,0.5918367346938775,0.26347264911231993,0.892244822544145,74,0.2790050506591797
s10_n300,0,30,0.3877551020408163,0.6122448979591837,0.2614771364395648,0.8960087726221841,74,0.37827396392822266
