scale,instance_idx,pref_id,w1,w2,satellite_id,task_id,start,end,duration,priority,is_emergency,original_scheduled
s8_n400,9,0,1.0,0.0,7,73,1130.0,1150.0,20.0,6.404083875993596,False,False
s8_n400,9,0,1.0,0.0,7,34,1179.0,1213.0,34.0,8.438529749747197,False,False
s8_n400,9,0,1.0,0.0,5,316,2170.0,2210.0,40.0,9.186776849300848,True,False
s8_n400,9,0,1.0,0.0,5,341,2468.0,2491.0,23.0,8.00463245732983,True,False
s8_n400,9,0,1.0,0.0,5,342,2536.0,2562.0,26.0,8.323963915512177,True,False
s8_n400,9,0,1.0,0.0,5,326,2567.0125799179077,2582.0125799179077,15.0,8.693522248568346,True,False
s8_n400,9,0,1.0,0.0,4,234,2089.104743564129,2104.104743564129,15.0,9.609480543280911,False,False
s8_n400,9,0,1.0,0.0,2,83,1487.0,1502.0,15.0,3.467309559875579,False,False
s8_n400,9,0,1.0,0.0,4,192,2627.0,2656.0,29.0,8.866733669979618,False,False
s8_n400,9,0,1.0,0.0,4,307,3169.0,3186.0,17.0,7.493005822704397,True,False
s8_n400,9,0,1.0,0.0,7,155,1855.0,1885.0,30.0,7.922270760947424,False,False
s8_n400,9,0,1.0,0.0,7,92,2081.0,2112.0,31.0,7.00130500118533,False,True
s8_n400,9,0,1.0,0.0,7,381,2143.0,2165.0,22.0,5.278803265637639,True,False
s8_n400,9,0,1.0,0.0,1,208,2517.0,2557.0,40.0,9.055130491557708,False,True
s8_n400,9,0,1.0,0.0,5,336,2589.622283554077,2608.622283554077,19.0,8.189876573815905,True,False
s8_n400,9,0,1.0,0.0,0,9,1490.0,1510.0,20.0,6.838369365579364,False,True
s8_n400,9,0,1.0,0.0,0,167,1554.0,1590.0,36.0,8.078146295039009,False,False
s8_n400,9,0,1.0,0.0,0,283,1918.0,1960.0,42.0,9.889483246787826,False,False
s8_n400,9,0,1.0,0.0,2,351,3298.0,3313.0,15.0,5.856202895102196,True,False
s8_n400,9,1,0.75,0.25,6,46,73.0,118.0,45.0,7.206099624076302,False,True
s8_n400,9,1,0.75,0.25,0,255,161.0,195.0,34.0,5.229878542798582,False,True
s8_n400,9,1,0.75,0.25,0,235,330.0,372.0,42.0,8.733156516788577,False,True
s8_n400,9,1,0.75,0.25,2,239,158.0,192.0,34.0,6.46133264175788,False,True
