scale,instance_idx,pref_id,w1,w2,f1,f2,scheduled,seconds
s8_n400,9,0,1.0,0.0,0.24987436201952903,0.4504738394212339,75,0.3114333152770996
s8_n400,9,1,0.75,0.25,0.22693241945820294,0.7976169801943913,72,0.21509718894958496
s8_n400,9,2,0.5,0.5,0.17272568288837079,0.964482863496297,62,0.15898346900939941
s8_n400,9,3,0.25,0.75,0.15744207370065094,0.9699963495581134,60,0.16351103782653809
s8_n400,9,4,0.0,1.0,0.14431866335763857,1.0000000000000002,57,0.15030431747436523
