group,instances,pearson_r,r2,loglog_slope,cv_time_per_candidate_percent,mean_time,max_time,mean_candidate_pairs_million
Small,60,0.953293355841295,0.908768222291158,0.449614944202136,35.11918943824106,0.1574098030726115,0.24203848838806152,0.9663225
Medium,60,0.9872327295147911,0.9746284622252247,0.7446469866105193,10.680103010311944,0.6245386719703674,0.9610557556152344,9.28265
Large,60,0.9965745757378601,0.9931608850070961,0.7555831854619287,9.52403128300874,2.6952430248260497,4.178309202194214,63.84373333333333
All,180,0.9955774530298072,0.991174464981318,0.6549439508314306,75.18016783658292,1.1590638332896763,4.178309202194214,24.697568611111112
