scale,instance_idx,pref_id,w1,w2,f1,f2,scheduled,seconds
s5_n150,0,0,1.0,0.0,0.3553194510317895,0.47707309575856666,43,0.2886021137237549
s5_n150,0,1,0.98,0.02,0.35889009996649546,0.4411207927775958,43,0.14051270484924316
s5_n150,0,2,0.96,0.04,0.35463763631193307,0.5186471297646741,43,0.16000103950500488
s5_n150,0,3,0.94,0.06,0.35371295845654366,0.5545994327456449,42,0.13700127601623535
s5_n150,0,4,0.92,0.08,0.35429327900089835,0.6912598389407795,42,0.15199923515319824
s5_n150,0,5,0.9,0.1,0.3616487303677103,0.6912598389407795,43,0.15394997596740723
s5_n150,0,6,0.88,0.12,0.3489052019826659,0.7275044181953052,43,0.15062332153320312
s5_n150,0,7,0.86,0.14,0.34035699608410114,0.7275044181953052,41,0.14600419998168945
s5_n150,0,8,0.84,0.16,0.34890520198266584,0.7275044181953052,43,0.14617061614990234
s5_n150,0,9,0.8200000000000001,0.18,0.35207313364481163,0.7275044181953052,42,0.13700008392333984
s5_n150,0,10,0.8,0.2,0.3531083985108216,0.7275044181953052,43,0.1269969940185547
s5_n150,0,11,0.78,0.22,0.3426430910977939,0.7828765460874495,43,0.1416182518005371
s5_n150,0,12,0.76,0.24,0.32981403236017925,0.7882795164958217,41,0.13000226020812988
s5_n150,0,13,0.74,0.26,0.32981403236017925,0.7882795164958217,41,0.13187527656555176
s5_n150,0,14,0.72,0.28,0.30784458534351405,0.8517186093871697,39,0.13019418716430664
s5_n150,0,15,0.7,0.3,0.30784458534351405,0.8517186093871697,39,0.12897396087646484
s5_n150,0,16,0.6799999999999999,0.32,0.30793524760708063,0.8522261049627605,39,0.1250014305114746
s5_n150,0,17,0.6599999999999999,0.34,0.30793524760708063,0.8522261049627605,39,0.11361503601074219
s5_n150,0,18,0.64,0.36,0.31252512874657196,0.8888230106446655,39,0.1280043125152588
s5_n150,0,19,0.62,0.38,0.298364482760601,0.9108367589246935,39,0.11410331726074219
s5_n150,0,20,0.6,0.4,0.29305341555095876,0.9108367589246933,38,0.1249990463256836
s5_n150,0,21,0.5800000000000001,0.42,0.3076888262641843,0.9108367589246935,39,0.12805700302124023
s5_n150,0,22,0.56,0.44,0.27094425973221437,0.8899277255252448,35,0.10400032997131348
s5_n150,0,23,0.54,0.46,0.28006392711848616,0.8899277255252448,37,0.11799907684326172
s5_n150,0,24,0.52,0.48,0.27894481650965247,0.8899277255252448,36,0.10611486434936523
s5_n150,0,25,0.5,0.5,0.2789448165096525,0.8899277255252448,36,0.11713790893554688
s5_n150,0,26,0.48,0.52,0.2789448165096525,0.8899277255252448,36,0.11700773239135742
s5_n150,0,27,0.45999999999999996,0.54,0.2789448165096525,0.8899277255252448,36,0.11399984359741211
s5_n150,0,28,0.43999999999999995,0.56,0.2665026207561666,0.8966365364217254,35,0.1170036792755127
s5_n150,0,29,0.42000000000000004,0.58,0.2665026207561666,0.8966365364217254,35,0.10900259017944336
s5_n150,0,30,0.4,0.6,0.25609469372964017,0.9074327050341524,35,0.11999845504760742
s5_n150,0,31,0.38,0.62,0.26708587934750055,0.8966365364217254,35,0.1202247142791748
s5_n150,0,32,0.36,0.64,0.21991813962749263,0.9265188448944309,32,0.12400126457214355
s5_n150,0,33,0.33999999999999997,0.66,0.21991813962749263,0.9265188448944309,32,0.10899972915649414
s5_n150,0,34,0.31999999999999995,0.68,0.20650036081818926,0.9373150135068581,31,0.10419058799743652
s5_n150,0,35,0.30000000000000004,0.7,0.20650036081818926,0.9373150135068581,31,0.11800074577331543
s5_n150,0,36,0.28,0.72,0.20650036081818926,0.9373150135068581,31,0.1040043830871582
s5_n150,0,37,0.26,0.74,0.20650036081818923,0.9373150135068579,31,0.09999513626098633
s5_n150,0,38,0.24,0.76,0.20650036081818923,0.9373150135068579,31,0.10188078880310059
s5_n150,0,39,0.21999999999999997,0.78,0.20650036081818923,0.9373150135068579,31,0.11100268363952637
s5_n150,0,40,0.19999999999999996,0.8,0.20650036081818923,0.9373150135068579,31,0.10999774932861328
s5_n150,0,41,0.18000000000000005,0.82,0.20650036081818923,0.9373150135068579,31,0.1009988784790039
s5_n150,0,42,0.16000000000000003,0.84,0.20650036081818923,0.9373150135068579,31,0.09899616241455078
s5_n150,0,43,0.14,0.86,0.20650036081818923,0.9373150135068579,31,0.11199831962585449
s5_n150,0,44,0.12,0.88,0.20650036081818923,0.9373150135068579,31,0.09499716758728027
s5_n150,0,45,0.09999999999999998,0.9,0.20650036081818923,0.9373150135068579,31,0.09458541870117188
s5_n150,0,46,0.07999999999999996,0.92,0.20650036081818923,0.9373150135068579,31,0.09563779830932617
s5_n150,0,47,0.06000000000000005,0.94,0.20650036081818923,0.9373150135068579,31,0.10000181198120117
s5_n150,0,48,0.040000000000000036,0.96,0.2220888880730649,0.9309723809188938,33,0.12245583534240723
s5_n150,0,49,0.020000000000000018,0.98,0.2220888880730649,0.9309723809188938,33,0.11200237274169922
s5_n150,0,50,0.0,1.0,0.2115467119736556,0.9330744013460276,32,0.09100151062011719
