num_prefs,scale,instance_idx,seed,front_type,point_idx,f1,f2
20,s3_n100,0,20260701,all,0,0.3406098534066261,0.6548914512365673
20,s3_n100,0,20260701,all,1,0.3395676912207148,0.6548914512365673
20,s3_n100,0,20260701,all,2,0.3411557598332706,0.7491510907305889
20,s3_n100,0,20260701,all,3,0.3392020540973991,0.7938956641484113
20,s3_n100,0,20260701,all,4,0.3274557357297535,0.8132159602897522
20,s3_n100,0,20260701,all,5,0.33376844862329635,0.8132159602897522
20,s3_n100,0,20260701,all,6,0.3173715520337335,0.8542420636698618
20,s3_n100,0,20260701,all,7,0.3173715520337335,0.8542420636698618
20,s3_n100,0,20260701,all,8,0.307959768674201,0.8872033867994895
20,s3_n100,0,20260701,all,9,0.3109136374618391,0.8872033867994895
20,s3_n100,0,20260701,all,10,0.30137462672500415,0.9043049840414027
20,s3_n100,0,20260701,all,11,0.2845961911472062,0.9043049840414027
20,s3_n100,0,20260701,all,12,0.29335765916541257,0.9043049840414027
20,s3_n100,0,20260701,all,13,0.29149770395687175,0.9043049840414027
20,s3_n100,0,20260701,all,14,0.29149770395687175,0.9043049840414025
20,s3_n100,0,20260701,all,15,0.29149770395687175,0.9043049840414025
20,s3_n100,0,20260701,all,16,0.2755834062820288,0.9479628787624519
20,s3_n100,0,20260701,all,17,0.29149770395687175,0.9043049840414025
20,s3_n100,0,20260701,all,18,0.29084574391442397,0.8773949803852711
20,s3_n100,0,20260701,all,19,0.25082709711968604,0.7081626506529234
20,s3_n100,0,20260701,nd,0,0.2755834062820288,0.9479628787624519
20,s3_n100,0,20260701,nd,1,0.30137462672500415,0.9043049840414027
20,s3_n100,0,20260701,nd,2,0.3109136374618391,0.8872033867994895
20,s3_n100,0,20260701,nd,3,0.3173715520337335,0.8542420636698618
20,s3_n100,0,20260701,nd,4,0.33376844862329635,0.8132159602897522
20,s3_n100,0,20260701,nd,5,0.3392020540973991,0.7938956641484113
20,s3_n100,0,20260701,nd,6,0.3411557598332706,0.7491510907305889
50,s3_n100,0,20260701,all,0,0.3406098534066261,0.6548914512365673
50,s3_n100,0,20260701,all,1,0.33734510177737315,0.6548914512365673
50,s3_n100,0,20260701,all,2,0.3395676912207148,0.6548914512365673
50,s3_n100,0,20260701,all,3,0.3395676912207148,0.6548914512365673
50,s3_n100,0,20260701,all,4,0.3395676912207148,0.6548914512365673
50,s3_n100,0,20260701,all,5,0.3411557598332706,0.7491510907305889
50,s3_n100,0,20260701,all,6,0.3392020540973991,0.7938956641484112
50,s3_n100,0,20260701,all,7,0.339202054097399,0.7938956641484113
50,s3_n100,0,20260701,all,8,0.3392020540973991,0.7938956641484113
50,s3_n100,0,20260701,all,9,0.33920205409739906,0.7938956641484113
50,s3_n100,0,20260701,all,10,0.32846311019266516,0.7938956641484113
50,s3_n100,0,20260701,all,11,0.3274557357297535,0.8132159602897522
50,s3_n100,0,20260701,all,12,0.33376844862329635,0.8132159602897522
50,s3_n100,0,20260701,all,13,0.33376844862329635,0.8132159602897522
