num_prefs,scale,scale_group,instance_idx,seed,satellites,tasks,hv,normalized_hv,igd_to_k200,nd_points,seconds,seconds_per_pref,avg_scheduled
20,s3_n100,small,0,20260701,3,100,0.317657187868134,99.92605281707623,0.002447904294356285,7,0.13755154609680176,0.006877577304840088,25.8
50,s3_n100,small,0,20260701,3,100,0.3178922602393136,99.99999999999996,2.7755575615628914e-17,8,0.2022857666015625,0.00404571533203125,25.86
100,s3_n100,small,0,20260701,3,100,0.3178922602393137,100.0,1.3877787807814457e-17,8,0.5266299247741699,0.005266299247741699,25.89
150,s3_n100,small,0,20260701,3,100,0.3178922602393137,100.0,0.0,8,0.7738568782806396,0.005159045855204264,25.886666666666667
200,s3_n100,small,0,20260701,3,100,0.3178922602393137,100.0,0.0,8,1.0153086185455322,0.005076543092727661,25.89
20,s3_n100,small,1,20260702,3,100,0.3204471221454662,98.88890320053673,0.013868546993285312,9,0.062250375747680664,0.0031125187873840333,26.05
50,s3_n100,small,1,20260702,3,100,0.3212257817335098,99.12919492827226,0.012582312179858855,10,0.11633038520812988,0.0023266077041625977,26.08
100,s3_n100,small,1,20260702,3,100,0.32190232008577274,99.33797238640781,0.00818512822886769,13,0.5016365051269531,0.005016365051269531,26.09
150,s3_n100,small,1,20260702,3,100,0.3216172196259397,99.24999134421246,0.008213824036378558,12,0.8059179782867432,0.005372786521911621,26.08
200,s3_n100,small,1,20260702,3,100,0.32404760471013794,100.0,0.0,13,1.0545985698699951,0.0052729928493499756,26.085
20,s3_n100,small,2,20260703,3,100,0.29291335210544284,98.90658402496362,0.01177322569860797,7,0.05700421333312988,0.002850210666656494,23.65
50,s3_n100,small,2,20260703,3,100,0.29314831426516136,98.98592252020751,0.0050711188624714375,9,0.10399580001831055,0.0020799160003662108,23.52
100,s3_n100,small,2,20260703,3,100,0.2959994179200254,99.9486404064928,0.00020800659338807148,10,0.5075907707214355,0.005075907707214356,23.55
150,s3_n100,small,2,20260703,3,100,0.29641247527924186,100.08811541544277,0.0,11,0.748358964920044,0.004989059766133627,23.553333333333335
200,s3_n100,small,2,20260703,3,100,0.29615152013693313,100.0,0.0,10,0.9901247024536133,0.004950623512268066,23.555
20,s3_n100,small,3,20260704,3,100,0.2812693179630183,97.39755918993403,0.0326800502728023,7,0.05455899238586426,0.002727949619293213,21.5
50,s3_n100,small,3,20260704,3,100,0.2883069701783046,99.83454788518391,0.006639278303564107,8,0.10899901390075684,0.0021799802780151367,21.42
100,s3_n100,small,3,20260704,3,100,0.2887847706886758,100.0,0.0,9,0.5180003643035889,0.005180003643035888,21.44
150,s3_n100,small,3,20260704,3,100,0.2887847706886758,100.0,0.0,9,0.758246898651123,0.00505497932434082,21.406666666666666
200,s3_n100,small,3,20260704,3,100,0.2887847706886758,100.0,0.0,9,1.0067780017852783,0.005033890008926392,21.395
20,s3_n100,small,4,20260705,3,100,0.3317424889171007,98.60488252322699,0.01521961495454162,8,0.07256865501403809,0.0036284327507019043,24.7
50,s3_n100,small,4,20260705,3,100,0.3333470465514825,99.08181032815314,0.006407858238161068,10,0.11806321144104004,0.002361264228820801,24.8
100,s3_n100,small,4,20260705,3,100,0.3347268397418347,99.49193067747935,0.00037871514900507006,11,0.5479996204376221,0.005479996204376221,24.8
150,s3_n100,small,4,20260705,3,100,0.3364361687048881,100.0,0.0,11,0.7740879058837891,0.00516058603922526,24.833333333333332
200,s3_n100,small,4,20260705,3,100,0.3364361687048881,100.0,0.0,11,1.1285674571990967,0.005642837285995484,24.825
20,s3_n100,small,5,20260706,3,100,0.33392020756556656,98.32059125791454,0.003413699061715597,10,0.06236672401428223,0.0031183362007141113,24.8
50,s3_n100,small,5,20260706,3,100,0.3391411870093159,99.8578740405208,0.002034347583494604,9,0.11400008201599121,0.0022800016403198243,24.7
100,s3_n100,small,5,20260706,3,100,0.3395062274096757,99.96535776622301,0.0007410440971872946,9,0.543062686920166,0.00543062686920166,24.68
150,s3_n100,small,5,20260706,3,100,0.34019599197323375,100.16845436888809,0.001009677451487112,9,0.8029086589813232,0.005352724393208822,24.686666666666667
200,s3_n100,small,5,20260706,3,100,0.33962388070839317,100.0,0.0,9,1.1712288856506348,0.005856144428253174,24.68
20,s3_n100,small,6,20260707,3,100,0.31634900285612344,98.78743089192137,0.012743479386210232,9,0.06300115585327148,0.003150057792663574,22.8
50,s3_n100,small,6,20260707,3,100,0.31977981800032984,99.85878376770519,0.005268340382471067,9,0.12000083923339844,0.0024000167846679687,22.9
100,s3_n100,small,6,20260707,3,100,0.32023203761845553,99.99999999999999,0.0,10,0.5004184246063232,0.005004184246063232,22.91
150,s3_n100,small,6,20260707,3,100,0.32023203761845553,99.99999999999999,5.551115123125783e-18,10,0.8131380081176758,0.005420920054117839,22.893333333333334
200,s3_n100,small,6,20260707,3,100,0.32023203761845553,99.99999999999999,0.0,10,1.0248980522155762,0.0051244902610778804,22.89
20,s3_n100,small,7,20260708,3,100,0.2921455944152819,99.35037072379392,0.010128120604882038,7,0.05700111389160156,0.002850055694580078,22.55
