inst_idx,scale,instance_idx,seed,file,method,front_type,point_idx,f1,f2
,s5_n100,0,20260701,,KDPCS,nd,9,0.4536826784450294,0.7838956051190661
,s5_n100,0,20260701,,KDPCS,nd,10,0.4645299936723192,0.7219262161816556
,s5_n100,0,20260701,,KDPCS,nd,11,0.4697697546387542,0.563224788340898
,s5_n100,0,20260701,,KDPCS,nd,12,0.47915743805130095,0.5002487130619309
,s5_n100,0,20260701,,KDPCS,union_ref_nd,0,0.29324183402997694,1.0000000000000002
,s5_n100,0,20260701,,KDPCS,union_ref_nd,1,0.3142122627347191,0.9908668924101878
,s5_n100,0,20260701,,KDPCS,union_ref_nd,2,0.3379121897249257,0.9773143046182169
,s5_n100,0,20260701,,KDPCS,union_ref_nd,3,0.35654815303299064,0.9594549390423609
,s5_n100,0,20260701,,KDPCS,union_ref_nd,4,0.36553266210772306,0.9516588119432173
,s5_n100,0,20260701,,KDPCS,union_ref_nd,5,0.3801078133728324,0.926557312654871
,s5_n100,0,20260701,,KDPCS,union_ref_nd,6,0.3974748066469254,0.8934079876466696
,s5_n100,0,20260701,,KDPCS,union_ref_nd,7,0.42523211950952594,0.8689238734829579
,s5_n100,0,20260701,,KDPCS,union_ref_nd,8,0.4407450985616996,0.8193360197387131
,s5_n100,0,20260701,,KDPCS,union_ref_nd,9,0.4536826784450294,0.7838956051190661
,s5_n100,0,20260701,,KDPCS,union_ref_nd,10,0.4645299936723192,0.7219262161816556
,s5_n100,0,20260701,,KDPCS,union_ref_nd,11,0.4697697546387542,0.563224788340898
,s5_n100,0,20260701,,KDPCS,union_ref_nd,12,0.47915743805130095,0.5002487130619309
,s5_n150,0,20260701,,KDPCS,all,0,0.3553194510317895,0.47707309575856666
,s5_n150,0,20260701,,KDPCS,all,1,0.35531945103178947,0.47707309575856666
,s5_n150,0,20260701,,KDPCS,all,2,0.35832307718685946,0.4411207927775958
,s5_n150,0,20260701,,KDPCS,all,3,0.3611876721749378,0.46232206717464586
,s5_n150,0,20260701,,KDPCS,all,4,0.34782315980265116,0.6550423793552204
,s5_n150,0,20260701,,KDPCS,all,5,0.34782315980265116,0.6550423793552204
,s5_n150,0,20260701,,KDPCS,all,6,0.35429327900089835,0.6912598389407795
,s5_n150,0,20260701,,KDPCS,all,7,0.35418364945246716,0.6912598389407795
,s5_n150,0,20260701,,KDPCS,all,8,0.3533313531518179,0.6912598389407795
,s5_n150,0,20260701,,KDPCS,all,9,0.3422834030264018,0.7275044181953052
,s5_n150,0,20260701,,KDPCS,all,10,0.3478383018692253,0.7560343588780066
,s5_n150,0,20260701,,KDPCS,all,11,0.3426430910977939,0.7828765460874495
,s5_n150,0,20260701,,KDPCS,all,12,0.32981403236017925,0.7882795164958217
,s5_n150,0,20260701,,KDPCS,all,13,0.32981403236017925,0.7882795164958217
,s5_n150,0,20260701,,KDPCS,all,14,0.30784458534351405,0.8517186093871697
,s5_n150,0,20260701,,KDPCS,all,15,0.30784458534351405,0.8517186093871696
,s5_n150,0,20260701,,KDPCS,all,16,0.30784458534351405,0.8517186093871696
,s5_n150,0,20260701,,KDPCS,all,17,0.3079352476070806,0.8522261049627604
,s5_n150,0,20260701,,KDPCS,all,18,0.298364482760601,0.9108367589246935
,s5_n150,0,20260701,,KDPCS,all,19,0.298364482760601,0.9108367589246935
,s5_n150,0,20260701,,KDPCS,all,20,0.3036189527403537,0.9108367589246933
,s5_n150,0,20260701,,KDPCS,all,21,0.3036189527403537,0.9108367589246935
,s5_n150,0,20260701,,KDPCS,all,22,0.27094425973221437,0.8899277255252448
,s5_n150,0,20260701,,KDPCS,all,23,0.27094425973221437,0.8899277255252448
,s5_n150,0,20260701,,KDPCS,all,24,0.28006392711848616,0.8899277255252448
,s5_n150,0,20260701,,KDPCS,all,25,0.2789448165096525,0.8899277255252448
,s5_n150,0,20260701,,KDPCS,all,26,0.2789448165096525,0.8899277255252448
,s5_n150,0,20260701,,KDPCS,all,27,0.2723801644446204,0.8899277255252448
,s5_n150,0,20260701,,KDPCS,all,28,0.2665026207561666,0.8966365364217254
,s5_n150,0,20260701,,KDPCS,all,29,0.2665026207561666,0.8966365364217254
,s5_n150,0,20260701,,KDPCS,all,30,0.25609469372964017,0.9074327050341524
,s5_n150,0,20260701,,KDPCS,all,31,0.25609469372964017,0.9074327050341524
,s5_n150,0,20260701,,KDPCS,all,32,0.21991813962749263,0.9265188448944309
,s5_n150,0,20260701,,KDPCS,all,33,0.20650036081818926,0.9373150135068581
,s5_n150,0,20260701,,KDPCS,all,34,0.20650036081818926,0.9373150135068581
,s5_n150,0,20260701,,KDPCS,all,35,0.20650036081818923,0.9373150135068579
